iter	Passed	Remaining
0	4	4449
1	8	4170
2	12	4035
3	16	4019
4	19	3912
5	23	3945
6	27	3915
7	31	3872
8	35	3882
9	39	3949
10	44	3963
11	47	3928
12	51	3926
13	55	3915
14	59	3895
15	63	3908
16	68	3947
17	73	4026
18	78	4045
19	82	4041
20	86	4035
21	90	4027
22	94	3996
23	97	3978
24	102	3986
25	106	3992
26	111	4014
27	116	4053
28	122	4088
29	125	4068
30	129	4048
31	133	4026
32	137	4036
33	141	4031
34	145	4019
35	149	4014
36	153	4004
37	157	3989
38	161	3978
39	165	3969
40	169	3968
41	173	3960
42	177	3948
43	181	3941
44	186	3951
45	190	3942
46	193	3932
47	197	3923
48	202	3922
49	205	3913
50	209	3901
51	214	3903
52	219	3913
53	222	3904
54	226	3894
55	230	3889
56	234	3882
57	238	3876
58	243	3886
59	248	3896
60	252	3883
61	256	3873
62	259	3866
63	263	3860
64	267	3854
65	271	3844
66	275	3837
67	279	3835
68	285	3845
69	289	3849
70	293	3834
71	297	3829
72	301	3824
73	305	3825
74	310	3826
75	315	3832
76	319	3833
77	323	3826
78	327	3820
79	331	3816
80	335	3811
81	339	3802
82	343	3794
83	348	3801
84	353	3800
85	357	3798
86	361	3792
87	365	3792
88	369	3783
89	374	3784
90	379	3787
91	382	3779
92	386	3773
93	391	3769
94	395	3768
95	399	3758
96	402	3749
97	406	3742
98	410	3737
99	415	3735
100	419	3730
101	422	3723
102	427	3720
103	431	3714
104	435	3711
105	439	3705
106	443	3702
107	447	3694
108	451	3687
109	455	3681
110	459	3677
111	463	3673
112	467	3669
113	471	3665
114	475	3657
115	479	3651
116	483	3646
117	486	3638
118	490	3632
119	494	3629
120	498	3620
121	502	3614
122	506	3608
123	511	3613
124	515	3608
125	519	3602
126	523	3599
127	528	3598
128	532	3593
129	536	3587
130	540	3582
131	544	3578
132	547	3571
133	551	3566
134	555	3560
135	559	3557
136	563	3552
137	567	3546
138	571	3539
139	575	3534
140	579	3528
141	583	3523
142	586	3516
143	590	3512
144	595	3510
145	600	3512
146	605	3513
147	610	3511
148	614	3510
149	619	3509
150	623	3506
151	628	3504
152	632	3500
153	636	3499
154	641	3495
155	644	3488
156	648	3482
157	652	3476
158	656	3472
159	660	3468
160	664	3463
161	669	3460
162	673	3456
163	677	3452
164	681	3446
165	684	3440
166	689	3439
167	693	3434
168	698	3432
169	702	3431
170	707	3431
171	711	3426
172	715	3422
173	720	3418
174	724	3413
175	728	3409
176	732	3405
177	737	3403
178	741	3399
179	745	3395
180	749	3390
181	753	3387
182	757	3383
183	762	3379
184	765	3373
185	770	3371
186	774	3366
187	778	3361
188	782	3356
189	787	3355
190	792	3356
191	797	3355
192	801	3351
193	806	3350
194	810	3344
195	814	3339
196	818	3334
197	822	3331
198	826	3327
199	830	3320
200	834	3316
201	838	3310
202	842	3307
203	846	3302
204	850	3298
